open,high,low,close,volume
2021-04-23 21:30:00,239.933093,245.786421,238.486428,243.13309,85241752
2021-04-26 21:30:00,246.999753,249.766417,244.201522,246.066421,93115599
2021-04-27 21:30:00,239.319761,241.333092,234.449799,234.913098,88311073
2021-04-28 21:30:00,232.136435,236.166431,231.199769,231.466435,66813207
2021-04-29 21:30:00,233.169767,234.083099,222.833177,225.666441,86536433
2021-04-30 21:30:00,222.529777,238.489762,222.046445,236.479764,122276288
2021-05-03 21:30:00,234.599765,235.333098,226.833107,228.299772,81129510
2021-05-04 21:30:00,226.313107,227.815239,219.233447,224.533109,89218046
2021-05-05 21:30:00,227.019773,228.431605,222.446444,223.646443,65705747
2021-05-06 21:30:00,226.919773,227.00644,216.66645,221.179779,83353940
2021-05-07 21:30:00,221.933111,229.99977,220.073113,224.123109,70407586
2021-05-10 21:30:00,221.633112,221.683112,209.203157,209.67979,94177345
2021-05-11 21:30:00,199.746467,209.033091,198.533135,205.733128,139511827
2021-05-12 21:30:00,200.829799,206.803127,195.588138,196.629803,101471039
2021-05-13 21:30:00,200.514799,202.153098,186.549813,190.563143,132554880
2021-05-14 21:30:00,194.469806,197.623136,190.153143,196.579803,100112668
2021-05-17 21:30:00,191.850841,196.57647,187.06648,192.276474,97171177
2021-05-18 21:30:00,189.333144,198.749801,187.793146,192.623141,110491811
2021-05-19 21:30:00,184.183149,188.736478,182.326484,187.819812,118735303
2021-05-20 21:30:00,191.666475,196.283137,190.356476,195.593138,92463449
2021-05-21 21:30:00,198.703135,198.893134,193.33314,193.626473,78091863
2021-05-24 21:30:00,193.866473,204.826462,191.216475,202.146465,103674370
2021-05-25 21:30:00,202.436464,204.663129,198.569801,201.563132,84017883
2021-05-26 21:30:00,202.519797,208.723125,200.4998,206.37646,85918000
2021-05-27 21:30:00,206.74646,210.376456,205.403128,210.283123,79111858
2021-05-28 21:30:00,209.499791,211.863121,207.459793,208.406458,68211182
2021-06-01 21:30:00,209.266457,211.266455,206.849793,207.966459,54254724
2021-06-02 21:30:00,206.709793,207.786459,199.713134,201.706465,69908406
2021-06-03 21:30:00,200.599799,201.516465,190.406476,190.946476,90335769
2021-06-04 21:30:00,193.236473,200.203133,192.399808,199.683134,72110760
2021-06-07 21:30:00,197.274803,203.33313,194.293139,201.709798,67631113
2021-06-08 21:30:00,207.669792,207.696459,198.499802,201.196465,78160293
2021-06-09 21:30:00,200.723133,203.929796,199.209834,199.593134,49753747
2021-06-10 21:30:00,201.293132,205.529794,200.166466,203.37313,71758889
2021-06-11 21:30:00,203.409797,204.186462,200.506466,203.296463,48615957
2021-06-14 21:30:00,204.076463,208.496458,203.059797,205.896461,61272010
2021-06-15 21:30:00,205.563128,205.596461,199.409801,199.786467,53292488
2021-06-16 21:30:00,199.178134,202.83313,197.833136,201.623132,66432447
2021-06-17 21:30:00,200.629066,207.15646,200.446466,205.533128,68104118
2021-06-18 21:30:00,204.456462,209.449791,203.933129,207.769792,73682788
2021-06-21 21:30:00,208.159792,210.463123,202.959797,206.943126,74438297
