open,high,low,close,volume
2013-10-17,2201.71,2211.03,2183.25,2188.54,126767944.0
2013-10-18,2188.71,2203.29,2184.36,2193.78,103724631.0
2013-10-21,2198.11,2230.28,2190.39,2229.24,136694408.0
2013-10-22,2227.34,2227.34,2204.24,2210.65,149132831.0
2013-10-23,2213.27,2226.85,2177.73,2183.11,146347090.0
2013-10-24,2178.82,2183.41,2159.87,2164.32,103008953.0
2013-10-25,2163.69,2170.61,2122.68,2132.96,113924520.0
2013-10-28,2135.88,2140.96,2123.07,2133.87,88401322.0
2013-10-29,2135.23,2163.66,2093.2,2128.86,143092811.0
2013-10-30,2126.69,2161.94,2121.84,2160.46,119643362.0
2013-10-31,2155.51,2155.51,2137.47,2141.61,108063020.0
2013-11-01,2139.88,2157.31,2132.63,2149.56,89118477.0
2013-11-04,2156.09,2160.58,2143.21,2149.63,76147941.0
2013-11-05,2139.84,2158.15,2124.84,2157.24,91900031.0
2013-11-06,2149.39,2166.17,2138.78,2139.61,100487344.0
2013-11-07,2136.63,2141.6,2119.19,2129.4,81842610.0
2013-11-08,2120.92,2128.58,2103.51,2106.13,83096859.0
2013-11-11,2103.3,2117.28,2093.63,2109.47,69678299.0
2013-11-12,2110.72,2127.94,2108.4,2126.77,79446731.0
2013-11-13,2117.89,2117.91,2086.01,2087.94,88257094.0
2013-11-14,2087.12,2102.38,2078.99,2100.51,83799373.0
2013-11-15,2100.9,2153.21,2100.79,2135.83,125894520.0
2013-11-18,2147.37,2198.32,2143.77,2197.22,157502714.0
2013-11-19,2198.32,2203.3,2186.11,2193.12,125082307.0
2013-11-20,2201.47,2207.1,2186.64,2206.61,118961861.0
2013-11-21,2197.01,2206.53,2177.74,2205.77,137245516.0
2013-11-22,2206.47,2211.07,2188.77,2196.38,113866457.0
2013-11-25,2186.06,2209.15,2181.42,2186.11,108282655.0
2013-11-26,2184.33,2192.58,2176.18,2183.07,100460830.0
2013-11-27,2181.73,2207.62,2176.85,2201.07,115384411.0
2013-11-28,2204.38,2234.39,2202.62,2219.37,134456777.0
2013-11-29,2221.62,2224.94,2212.26,2220.5,106959053.0
2013-12-02,2203.12,2231.92,2172.63,2207.37,174281990.0
2013-12-03,2196.82,2227.93,2193.25,2222.67,113506410.0
2013-12-04,2219.97,2260.87,2215.92,2251.76,157292943.0
2013-12-05,2252.72,2255.26,2239.14,2247.06,122048414.0
2013-12-06,2242.56,2248.15,2228.63,2237.11,103700929.0
2013-12-09,2241.79,2249.17,2231.73,2238.2,93273639.0
2013-12-10,2239.86,2250.5,2231.68,2237.49,109043133.0
2013-12-11,2228.63,2228.63,2193.16,2204.17,109473150.0
2013-12-12,2199.32,2214.55,2194.9,2202.8,86108671.0
2013-12-13,2188.26,2204.64,2183.84,2196.07,85101012.0
2013-12-16,2197.23,2201.7,2159.99,2160.86,101387594.0
2013-12-17,2161.54,2165.54,2146.31,2151.08,78578936.0
2013-12-18,2150.41,2156.59,2142.62,2148.28,64173584.0
2013-12-19,2153.67,2159.14,2126.25,2127.79,73123479.0
2013-12-20,2128.37,2131.74,2082.85,2084.79,86775212.0
2013-12-23,2089.54,2099.52,2068.54,2089.71,68146636.0
2013-12-24,2094.07,2111.8,2079.81,2092.91,70251467.0
2013-12-25,2095.02,2107.23,2088.3,2106.35,65139096.0
2013-12-26,2102.66,2102.66,2070.55,2073.1,78541408.0
2013-12-27,2074.59,2110.36,2069.59,2101.25,76756827.0
2013-12-30,2108.88,2112.01,2095.06,2097.53,74085056.0
2013-12-31,2090.68,2120.27,2087.42,2115.98,80474375.0
2014-01-02,2112.13,2113.11,2101.02,2109.39,68485486.0
2014-01-03,2101.54,2102.17,2075.9,2083.14,84497241.0
2014-01-06,2078.68,2078.68,2034.01,2045.71,89587608.0
2014-01-07,2034.22,2052.28,2029.25,2047.32,63402938.0
2014-01-08,2047.26,2062.95,2037.11,2044.34,71647364.0
2014-01-09,2041.77,2057.2,2026.45,2027.62,75941883.0
2014-01-10,2023.54,2029.3,2008.01,2013.3,75616121.0
2014-01-13,2014.98,2027.18,2000.4,2009.56,66544776.0
